Authors,Title,Year,Cited by,Link,Index Keywords
"Lin J., Ding X., Qu D., Li H.","Non-intrusive load monitoring and decomposition method based on decision tree",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077691723&doi=10.1186%2fs13362-020-0069-4&partnerID=40&md5=64a096f9fa53c274fac977af0f47800f","Data mining; Decision trees; Trees (mathematics); Decision-tree algorithm; Equipment composition; Load characteristics; Load detection; Nonintrusive load monitoring; Programming models; Status identifications; Tree identification; Particle swarm optimization (PSO)"
"Schirmer P.A., Mporas I., Sheikh-Akbari A.","Robust energy disaggregation using appliance-specific temporal contextual information",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079355966&doi=10.1186%2fs13634-020-0664-y&partnerID=40&md5=0b05d5f734b1a27813339d73dc69b1be","Electric load management; Consumption patterns; Contextual information; Disaggregation; Load monitoring; Non-intrusive; Nonintrusive load monitoring; Sampling frequencies; Temporal information; Information use"
"Wu X., Jiao D., You L.","Nonintrusive on-site load-monitoring method with self-adaption",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080036698&doi=10.1016%2fj.ijepes.2020.105934&partnerID=40&md5=e560af2a9494c323ace4097fb58770f5","Automatic identification; Database systems; Dynamic loads; Electric appliances; Electric load management; Electric power utilization; Bayesian classification models; Electricity-consumption; Load decompositions; Load identification; Nonintrusive load monitoring; Operational signatures; Optimization modeling; Signature database; Classification (of information)"
"Lima D.A., Oliveira M.Z.C., Zuluaga E.O.","Non-intrusive load disaggregation model for residential consumers with Fourier series and optimization method applied to White tariff modality in Brazil",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081058975&doi=10.1016%2fj.epsr.2020.106277&partnerID=40&md5=c435e90d16bbcdfac1574cd4c2b0d422","Housing; Integer programming; Disaggregation; Fourier; Optimization modeling; Residential consumers; White tariff; Fourier series"
"Donaldson D.L., Jayaweera D.","Effective solar prosumer identification using net smart meter data",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078835337&doi=10.1016%2fj.ijepes.2020.105823&partnerID=40&md5=f8fb4ca07e44fe0007900d4656030d76","Classification (of information); Distributed power generation; Electric utilities; Energy utilization; K-means clustering; Photovoltaic cells; Sales; Solar power generation; Voltage regulators; Agglomerative clustering; Classification accuracy; Classification approach; Clustering; Dimensionality reduction; Net energy consumption; Prosumer; Solar photovoltaic power; Smart meters"
"Zheng Y., Kong W., Song Y., Hill D.J.","Optimal Operation of Electric Springs for Voltage Regulation in Distribution Systems",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078697354&doi=10.1109%2fTII.2019.2954890&partnerID=40&md5=fa261baff9b97984d5824ff41f66d82c","Electric load management; Optimization; Voltage control; Voltage regulators; Active distribution systems; Distribution systems; electric spring (ES); Load monitoring; Nonintrusive load monitoring; Optimal control methods; Optimal operation; Optimal operation strategy; Information management"
"Geraldi M.S., Ghisi E.","Building-level and stock-level in contrast: A literature review of the energy performance of buildings during the operational stage",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078117041&doi=10.1016%2fj.enbuild.2020.109810&partnerID=40&md5=8866c975458980bde9883e3193b4af8a","Benchmarking; Buildings; Climate change; Energy utilization; Zero energy buildings; Building operations; Building performance analysis; Energy performance; Energy performance of buildings; Literature reviews; Literature survey; Operational stages; Zero energy building (ZEB); Energy efficiency"
"Cui L., Sun Y., Liu Y., Wen Y.","Non-intrusive Load Disaggregation Method Considering Time-phased State Behavior [考虑分时段状态行为的非侵入式负荷分解方法]",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081658241&doi=10.7500%2fAEPS20190225006&partnerID=40&md5=3355bc5538ec112c2663ab4440d10d9e","Electric load management; Probability; Disaggregation; Electricity-consumption; Genetic optimization; Intelligent optimization method; Load characteristics; Power characteristic; State probability; Time-periods; Iterative methods"
"Singh S., Majumdar A.","Non-Intrusive Load Monitoring via Multi-Label Sparse Representation-Based Classification",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081162333&doi=10.1109%2fTSG.2019.2938090&partnerID=40&md5=9510e7009d0101f41808f37a9507ae16","Computer science; Networks (circuits); Disaggregation; Multi label classification; Multi-label; NILM; Nonintrusive load monitoring; Sparse representation based classifications; State-of-the-art techniques; Training data; Classification (of information)"
"Huber P., Ott M., Friedli M., Rumsch A., Paice A.","Residential power traces for five houses: The ihomelab RAPT dataset",2020,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079446017&doi=10.3390%2fdata5010017&partnerID=40&md5=8474a8f445502397f635f0701917debf",
